step,time_s,ncon,r_hindfoot_n,r_forefoot_n,l_hindfoot_n,l_forefoot_n,r_total_n,l_total_n,r_contact,l_contact
0,0.0,1,0.0,60.23819350619931,0.0,0.0,60.23819350619931,0.0,1,0
1,0.01,1,0.0,75.65058995836705,0.0,0.0,75.65058995836705,0.0,1,0
2,0.02,1,0.0,87.65875425169233,0.0,0.0,87.65875425169233,0.0,1,0
3,0.03,1,0.0,97.30863969280341,0.0,0.0,97.30863969280341,0.0,1,0
4,0.04,2,0.0,110.38156933373918,0.0,0.0,110.38156933373918,0.0,1,0
5,0.05,2,0.0,118.78747571596688,0.0,0.0,118.78747571596688,0.0,1,0
6,0.06,2,0.0,123.09533186672387,0.0,0.0,123.09533186672387,0.0,1,0
7,0.07,2,0.0,128.27890834756332,0.0,0.0,128.27890834756332,0.0,1,0
8,0.08,4,0.0,137.39436742189162,492.24835176049567,0.0,137.39436742189162,492.24835176049567,1,1
9,0.09,4,0.0,150.19153746109808,467.61981523420775,0.0,150.19153746109808,467.61981523420775,1,1
10,0.1,4,0.0,165.78777725802797,426.73926485452216,0.0,165.78777725802797,426.73926485452216,1,1
11,0.11,4,0.0,179.73779659953436,390.7152829386074,0.0,179.73779659953436,390.7152829386074,1,1
12,0.12,2,0.0,173.85365612244246,366.40966086470223,0.0,173.85365612244246,366.40966086470223,1,1
13,0.13,2,0.0,169.03956382143963,357.0794898420219,0.0,169.03956382143963,357.0794898420219,1,1
14,0.14,2,0.0,158.77610756975156,494.89651516407474,0.0,158.77610756975156,494.89651516407474,1,1
15,0.15,2,0.0,154.8287516761054,492.814951546606,0.0,154.8287516761054,492.814951546606,1,1
16,0.16,2,0.0,159.56911315262,484.9668643138164,0.0,159.56911315262,484.9668643138164,1,1
17,0.17,3,0.0,161.28385272734752,734.8546950883034,195.39503807263435,161.28385272734752,930.2497331609377,1,1
18,0.18,3,0.0,164.46346957496763,723.6175130196117,171.0662840674265,164.46346957496763,894.6837970870382,1,1
19,0.19,3,0.0,156.92257932187258,741.6116402646817,156.84405997618578,156.92257932187258,898.4557002408675,1,1
20,0.2,6,0.0,142.67357454824855,798.4368381191889,143.64847058627367,142.67357454824855,942.0853087054626,1,1
21,0.21,7,0.0,107.5729801882604,823.2801158042855,129.84816835258601,107.5729801882604,953.1282841568716,1,1
22,0.22,7,0.0,81.78555046105336,804.6463343378099,120.67235875742827,81.78555046105336,925.3186930952381,1,1
23,0.23,7,0.0,68.89410689986462,763.9692639215185,116.28132047549113,68.89410689986462,880.2505843970097,1,1
24,0.24,7,0.0,54.00862973306676,712.8219744506822,117.3232475429547,54.00862973306676,830.1452219936369,1,1
25,0.25,8,0.0,54.59641821268835,646.0888386832446,110.91667982397215,54.59641821268835,757.0055185072167,1,1
26,0.26,8,0.0,73.70181908237147,568.2415611416759,98.25221777008025,73.70181908237147,666.4937789117562,1,1
27,0.27,7,0.0,106.155595512496,482.2857610132237,85.79059662278311,106.155595512496,568.0763576360068,1,1
28,0.28,7,0.0,150.38949156541213,382.11767443730173,75.73942985309253,150.38949156541213,457.85710429039426,1,1
29,0.29,7,0.0,201.3867921209188,284.6966523211531,73.72729939416587,201.3867921209188,358.423951715319,1,1
30,0.3,7,0.0,249.4045458797148,199.37016952272654,62.488844582944495,249.4045458797148,261.859014105671,1,1
31,0.31,5,0.0,282.1013152118834,139.2527045449999,45.6271427163903,282.1013152118834,184.87984726139018,1,1
32,0.32,2,0.0,317.49227747473606,153.03848904641683,0.0,317.49227747473606,153.03848904641683,1,1
33,0.33,2,0.0,322.00391486565604,182.51815184237665,0.0,322.00391486565604,182.51815184237665,1,1
34,0.34,2,0.0,383.6590123156577,217.43249521046891,0.0,383.6590123156577,217.43249521046891,1,1
35,0.35000000000000003,2,0.0,418.3642118515868,243.42638979075173,0.0,418.3642118515868,243.42638979075173,1,1
36,0.36,2,0.0,455.58364523195354,233.78293020994928,0.0,455.58364523195354,233.78293020994928,1,1
37,0.37,3,0.0,527.1844991376913,0.0,0.0,527.1844991376913,0.0,1,0
38,0.38,3,0.0,579.4327350677174,0.0,0.0,579.4327350677174,0.0,1,0
39,0.39,3,0.0,631.3855925392448,0.0,0.0,631.3855925392448,0.0,1,0
40,0.4,3,0.0,678.6612775207094,0.0,0.0,678.6612775207094,0.0,1,0
41,0.41000000000000003,1,0.0,663.6912049701435,0.0,0.0,663.6912049701435,0.0,1,0
42,0.42,1,0.0,702.4097713871778,0.0,0.0,702.4097713871778,0.0,1,0
43,0.43,1,0.0,750.9664788011487,0.0,0.0,750.9664788011487,0.0,1,0
44,0.44,1,0.0,771.2600719822148,0.0,0.0,771.2600719822148,0.0,1,0
45,0.45,1,0.0,755.6867162477926,0.0,0.0,755.6867162477926,0.0,1,0
46,0.46,1,0.0,747.5160225150881,0.0,0.0,747.5160225150881,0.0,1,0
47,0.47000000000000003,1,0.0,688.1884270222055,0.0,0.0,688.1884270222055,0.0,1,0
48,0.48,1,0.0,621.9497923214481,0.0,0.0,621.9497923214481,0.0,1,0
49,0.49,1,0.0,608.8433360200521,0.0,0.0,608.8433360200521,0.0,1,0
50,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
51,0.51,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
52,0.52,1,0.0,0.0,0.0,131.0905389254746,0.0,131.0905389254746,0,1
53,0.53,1,0.0,0.0,0.0,147.4239775115846,0.0,147.4239775115846,0,1
54,0.54,1,0.0,0.0,0.0,139.7214422252971,0.0,139.7214422252971,0,1
55,0.55,1,0.0,0.0,0.0,123.82822188183509,0.0,123.82822188183509,0,1
56,0.56,1,0.0,0.0,0.0,101.87388082997023,0.0,101.87388082997023,0,1
57,0.5700000000000001,1,0.0,0.0,0.0,84.21186369670625,0.0,84.21186369670625,0,1
58,0.58,1,0.0,0.0,0.0,69.66371394514648,0.0,69.66371394514648,0,1
59,0.59,1,0.0,0.0,0.0,59.660268823093176,0.0,59.660268823093176,0,1
60,0.6,1,0.0,0.0,0.0,61.507653830181454,0.0,61.507653830181454,0,1
61,0.61,1,0.0,0.0,0.0,65.52339079881898,0.0,65.52339079881898,0,1
62,0.62,2,0.0,0.0,0.0,75.85742161762941,0.0,75.85742161762941,0,1
63,0.63,2,0.0,0.0,0.0,85.39062221464148,0.0,85.39062221464148,0,1
64,0.64,2,0.0,0.0,0.0,92.56441094374549,0.0,92.56441094374549,0,1
65,0.65,2,0.0,0.0,0.0,93.48349103797405,0.0,93.48349103797405,0,1
66,0.66,2,0.0,0.0,0.0,91.36068581901208,0.0,91.36068581901208,0,1
67,0.67,3,717.9784596920229,0.0,0.0,88.34804781277619,717.9784596920229,88.34804781277619,1,1
68,0.68,3,689.017116134033,0.0,0.0,88.65673278289454,689.017116134033,88.65673278289454,1,1
69,0.6900000000000001,4,627.3462688493677,0.0,0.0,94.0531278855542,627.3462688493677,94.0531278855542,1,1
70,0.7000000000000001,2,548.7345227251154,0.0,0.0,104.64865306650096,548.7345227251154,104.64865306650096,1,1
71,0.71,2,608.985678260434,0.0,0.0,126.01173637124333,608.985678260434,126.01173637124333,1,1
72,0.72,2,526.313243440728,0.0,0.0,150.49629176898964,526.313243440728,150.49629176898964,1,1
73,0.73,2,464.02079179014163,0.0,0.0,173.1559583264218,464.02079179014163,173.1559583264218,1,1
74,0.74,2,421.5057280710305,0.0,0.0,189.05262267002485,421.5057280710305,189.05262267002485,1,1
75,0.75,2,390.3443675628313,0.0,0.0,214.6585156621326,390.3443675628313,214.6585156621326,1,1
76,0.76,2,367.87199462097203,0.0,0.0,252.1779137217731,367.87199462097203,252.1779137217731,1,1
77,0.77,5,423.1561570315133,102.10996119935244,0.0,321.6518671880979,525.2661182308658,321.6518671880979,1,1
78,0.78,5,413.5859085605782,116.44118951002257,0.0,371.5673415146298,530.0270980706008,371.5673415146298,1,1
79,0.79,6,404.5675925343656,124.40272801614205,0.0,411.2500910876604,528.9703205505076,411.2500910876604,1,1
80,0.8,7,392.43638502942576,125.6337136769761,0.0,431.6876267128713,518.0700987064018,431.6876267128713,1,1
81,0.81,8,370.9723224483753,126.5531328546119,0.0,427.97927308714094,497.5254553029872,427.97927308714094,1,1
82,0.8200000000000001,8,364.1415615317644,131.94624353667658,0.0,387.6384276314849,496.08780506844096,387.6384276314849,1,1
83,0.8300000000000001,8,376.61568559604825,138.13573706861874,0.0,350.16317015072866,514.751422664667,350.16317015072866,1,1
84,0.84,8,376.03636917456015,136.50663914423285,0.0,330.6877822512009,512.543008318793,330.6877822512009,1,1
85,0.85,8,336.22272357127815,126.4663855768363,0.0,344.68595377077605,462.6891091481144,344.68595377077605,1,1
86,0.86,8,252.11394784035423,110.77950207054809,0.0,388.11442970546295,362.8934499109023,388.11442970546295,1,1
87,0.87,8,161.2599159056179,95.50274026871733,0.0,445.2913920876439,256.76265617433523,445.2913920876439,1,1
88,0.88,8,164.3312764876304,97.38024959827379,0.0,501.9355490948143,261.7115260859042,501.9355490948143,1,1
89,0.89,7,165.98025350518242,99.52314831002829,0.0,555.7612913768514,265.50340181521074,555.7612913768514,1,1
90,0.9,7,163.42454951246438,100.63792053216494,0.0,605.3095102617784,264.0624700446293,605.3095102617784,1,1
91,0.91,7,158.03616727480838,100.64620716728017,0.0,651.2639844020766,258.68237444208853,651.2639844020766,1,1
92,0.92,7,151.4543698104235,103.63729530859558,0.0,698.8284030418855,255.09166511901907,698.8284030418855,1,1
93,0.93,7,155.68985881690472,100.70153353948459,0.0,748.7856149555456,256.3913923563893,748.7856149555456,1,1
94,0.9400000000000001,6,165.56929707878385,88.45094437438404,0.0,791.1775082154236,254.0202414531679,791.1775082154236,1,1
95,0.9500000000000001,4,151.53702112179826,0.0,0.0,816.1844165424892,151.53702112179826,816.1844165424892,1,1
96,0.96,2,140.77516007714735,0.0,0.0,749.6472594087687,140.77516007714735,749.6472594087687,1,1
97,0.97,2,116.68243736269024,0.0,0.0,759.4696127029739,116.68243736269024,759.4696127029739,1,1
98,0.98,1,0.0,0.0,0.0,758.789028111147,0.0,758.789028111147,0,1
99,0.99,1,0.0,0.0,0.0,729.7677518232242,0.0,729.7677518232242,0,1
100,1.0,1,0.0,0.0,0.0,671.2738638044298,0.0,671.2738638044298,0,1
101,1.01,1,0.0,0.0,0.0,628.2716041598595,0.0,628.2716041598595,0,1
102,1.02,1,0.0,0.0,0.0,546.5009520122852,0.0,546.5009520122852,0,1
103,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
105,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
106,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
107,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
108,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
109,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
110,1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
111,1.11,1,0.0,31.035148773527613,0.0,0.0,31.035148773527613,0.0,1,0
