step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
0,0.0,3,376.2590223525787,141.93876669998838,97.23510358772587,0.0,1.6535677555925796,223.74377098499974,615.432892640293,225.39733874059232,39,15,10,0,0,23,1,1
1,0.01,5,378.0626678105617,124.88753233714634,117.81558249398387,0.0,2.4456969444638785,274.9296839753106,620.7657826416919,277.37538091977444,39,13,12,0,0,28,1,1
2,0.02,8,359.73678586803743,119.63570756900798,128.34167008187868,0.0,3.471702212228929,352.0952594117382,607.7141635189241,355.56696162396713,37,12,13,0,0,36,1,1
3,0.03,8,335.93566177273067,113.32640623298761,132.4318654870623,0.0,4.256656399730276,384.7865784320327,581.6939334927806,389.04323483176296,34,12,14,0,0,39,1,1
4,0.04,8,314.8432739627234,106.57732202967995,129.96296026718005,0.0,4.439679323299181,386.93602420852795,551.3835562595834,391.3757035318271,32,11,13,0,0,40,1,1
5,0.05,8,286.10127493135985,96.46515680765935,119.49817129397553,0.0,3.7834150016582617,354.9988112633324,502.06460303299474,358.7822262649907,29,10,12,0,0,36,1,1
6,0.06,8,249.39559095134717,85.90773544830357,107.79826477225569,0.0,3.2551555338386993,339.7294632783918,443.1015911719064,342.9846188122305,26,9,11,0,0,35,1,1
7,0.07,8,211.97203370649194,72.92834256606925,97.79235427069995,0.0,2.722331824248593,330.45171274034413,382.6927305432611,333.17404456459275,22,7,10,0,0,34,1,1
8,0.08,8,180.66879773347185,60.815638080885684,87.87028419044807,0.0,2.2604518847938166,326.6206266272508,329.3547200048056,328.8810785120446,19,6,9,0,0,33,1,1
9,0.09,8,157.9578650338459,52.407052754033444,80.34271558455461,0.0,1.800365034600116,322.94409273321116,290.707633372434,324.7444577678113,16,5,8,0,0,33,1,1
10,0.1,8,125.35064506872268,41.808553461776086,72.11767943838996,0.0,1.5075675346731838,335.0137105383502,239.27687796888873,336.5212780730234,13,4,7,0,0,34,1,1
11,0.11,7,124.01197558179814,41.29538450329243,73.01878851677012,0.0,1.3840616112133048,372.64845901092406,238.3261486018607,374.0325206221374,13,4,7,0,0,38,1,1
12,0.12,7,141.34263215512857,46.691582121043076,80.00300477050703,0.0,1.3516728988001312,425.29278525740665,268.0372190466787,426.6444581562068,14,5,8,0,0,44,1,1
13,0.13,5,153.93831681097015,56.301312998189445,88.2866552495047,0.0,1.27935690617401,456.1416207526076,298.5262850586643,457.4209776587816,16,6,9,0,0,47,1,1
14,0.14,4,166.2089400679181,62.51083126439875,90.8687151718122,0.0,0.0,0.0,319.58848650412904,0.0,17,6,9,0,0,0,1,0
15,0.15,4,166.2768543497251,58.455638241112936,90.90425694312287,0.0,0.0,0.0,315.63674953396094,0.0,17,6,9,0,0,0,1,0
16,0.16,3,165.75566450342126,46.4056482503328,92.02088307483686,0.0,0.0,0.0,304.1821958285909,0.0,17,5,9,0,0,0,1,0
17,0.17,1,145.12559168996674,38.935713482623456,0.0,0.0,0.0,0.0,184.0613051725902,0.0,15,4,0,0,0,0,1,0
18,0.18,1,140.15112045020467,37.59356980835784,0.0,0.0,0.0,0.0,177.7446902585625,0.0,14,4,0,0,0,0,1,0
19,0.19,2,121.82503137219055,32.6716021490443,0.0,0.0,1.7596943664464781,636.3834083795897,154.49663352123486,638.1431027460362,12,3,0,0,0,65,1,1
20,0.2,1,0.0,0.0,0.0,0.0,1.8421068835707042,647.7417283007403,0.0,649.583835184311,0,0,0,0,0,66,0,1
21,0.21,1,0.0,0.0,0.0,0.0,2.213426674596532,650.899047920702,0.0,653.1124745952985,0,0,0,0,0,67,0,1
22,0.22,1,0.0,0.0,0.0,0.0,2.288490123879719,667.5074176693033,0.0,669.795907793183,0,0,0,0,0,68,0,1
23,0.23,1,0.0,0.0,0.0,0.0,2.276801963885425,670.6510716308014,0.0,672.9278735946868,0,0,0,0,0,69,0,1
24,0.24,1,0.0,0.0,0.0,0.0,2.1575014913128694,651.062930213071,0.0,653.2204317043838,0,0,0,0,0,67,0,1
25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
26,0.26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
27,0.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
28,0.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
29,0.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
30,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
31,0.31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
32,0.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
33,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
34,0.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
35,0.35000000000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
36,0.36,1,0.0,0.4438901613847675,44.3376379986448,0.0,0.0,0.0,44.781528160029566,0.0,0,0,5,0,0,0,1,0
37,0.37,1,0.0,0.3677529403184849,36.67607168348882,0.0,0.0,0.0,37.0438246238073,0.0,0,0,4,0,0,0,1,0
38,0.38,1,0.0,0.3490426954517864,34.76069230660154,0.0,0.0,0.0,35.10973500205333,0.0,0,0,4,0,0,0,1,0
39,0.39,1,0.0,0.561036950457922,55.763778234117176,0.0,0.0,0.0,56.3248151845751,0.0,0,0,6,0,0,0,1,0
40,0.4,1,0.0,0.7050860956135713,72.61992924009668,0.0,0.0,0.0,73.32501533571025,0.0,0,0,7,0,0,0,1,0
41,0.41000000000000003,1,0.0,0.8146175877250582,83.64524403061148,0.0,0.0,0.0,84.45986161833653,0.0,0,0,9,0,0,0,1,0
42,0.42,1,0.0,0.8671231977877668,88.68626719045713,0.0,0.0,0.0,89.55339038824489,0.0,0,0,9,0,0,0,1,0
43,0.43,1,0.0,0.9012352007208618,91.70981218906313,0.0,0.0,0.0,92.61104738978399,0.0,0,0,9,0,0,0,1,0
44,0.44,1,0.0,0.9474244868700574,95.77549896792311,0.0,0.0,0.0,96.72292345479318,0.0,0,0,10,0,0,0,1,0
45,0.45,1,0.0,1.0066678747025744,100.97729393541537,0.0,0.0,0.0,101.98396181011795,0.0,0,0,10,0,0,0,1,0
46,0.46,2,0.0,3.3217976876489645,110.1608490177288,0.0,0.0,0.0,113.48264670537776,0.0,0,0,11,0,0,0,1,0
47,0.47000000000000003,2,0.0,3.6305893307847033,117.49878803716057,0.0,0.0,0.0,121.12937736794527,0.0,0,0,12,0,0,0,1,0
48,0.48,2,0.0,3.405701435838874,124.45956044897879,0.0,0.0,0.0,127.86526188481767,0.0,0,0,13,0,0,0,1,0
49,0.49,2,0.0,2.977834410207307,133.2071698256039,0.0,0.0,0.0,136.1850042358112,0.0,0,0,14,0,0,0,1,0
50,0.5,3,0.0,2.6901887042973103,147.8317534035793,353.4308569413599,74.64706287305697,0.0,150.5219421078766,428.0779198144169,0,0,15,36,8,0,1,1
