step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
0,0.0,4,0.0,2.1945186083340507,232.1500701438236,428.057281172875,116.0751938268797,0.0,234.34458875215765,544.1324749997547,0,22,1024,1024,1024,0,1,1
1,0.01,4,0.0,2.0871342425539545,193.73099936398995,457.9225461913667,124.08545012783256,0.0,195.8181336065439,582.0079963191993,0,21,1024,1024,1024,0,1,1
2,0.02,5,0.0,1.5097139735947318,133.94958666155867,623.2629252169244,209.78884163188232,99.99239824023498,135.4593006351534,933.0441650890416,0,15,1024,1024,1024,1024,1,1
3,0.03,5,0.0,0.7362770629677684,68.49521437207696,611.3138444216065,202.20921032640112,89.5876076181064,69.23149143504473,903.1106623661141,0,8,701,1024,1024,917,1,1
4,0.04,5,0.0,0.2813086510559851,28.643779273110308,589.6564341226378,193.711998170471,83.2964323858338,28.92508792416629,866.6648646789426,0,3,293,1024,1024,853,1,1
5,0.05,5,0.0,0.37113379935166063,44.06558626695624,558.4271349854536,184.9079118141727,82.48995606535821,44.4367200663079,825.8250028649845,0,4,451,1024,1024,845,1,1
6,0.06,6,0.0,0.6119749274463894,86.24542864639352,520.5240828467221,166.55520196437806,89.12191521411536,86.8574035738399,776.2012000252155,0,6,883,1024,1024,913,1,1
7,0.07,7,0.0,0.7366372190830994,127.16292553737593,464.5332444968143,147.74894627618755,95.82101805360693,127.89956275645902,708.1032088266088,0,8,1024,1024,1024,981,1,1
8,0.08,7,0.0,0.8147550504569283,170.50937333128093,396.61229892411376,126.517987705482,95.9640401987688,171.32412838173786,619.0943268283645,0,8,1024,1024,1024,983,1,1
9,0.09,7,0.0,0.8702376972405061,215.63103915644143,340.01576103983837,107.73635964098307,92.49776743186905,216.50127685368193,540.2498881126905,0,9,1024,1024,1024,947,1,1
10,0.1,7,0.0,0.9175690269339288,258.8920177134452,299.93063481118344,93.77747863585927,84.93942823356414,259.80958674037913,478.6475416806069,0,9,1024,1024,960,870,1,1
11,0.11,7,0.0,0.9688231183967823,296.99527879694017,270.3918351688005,84.91502434890111,75.14889428396881,297.9641019153369,430.4557538016704,0,10,1024,1024,870,770,1,1
12,0.12,6,0.0,1.0149311807981383,325.65253461600537,237.25794349632974,78.33847029074353,60.61102328455783,326.6674657968035,376.20743707163115,0,10,1024,1024,802,621,1,1
13,0.13,4,0.0,1.0705040013122475,352.16774579317956,200.82198688461816,70.10690627070538,39.259702879185745,353.2382497944918,310.18859603450926,0,11,1024,1024,718,402,1,1
14,0.14,3,0.0,1.2006929940935733,393.33996873489554,200.66570739589125,53.958626161067556,0.0,394.5406617289891,254.6243335569588,0,12,1024,1024,553,0,1,1
15,0.15,4,0.0,1.431908475014011,454.94831639955385,204.76313750639153,55.03010684748162,0.0,456.38022487456783,259.79324435387315,0,15,1024,1024,564,0,1,1
16,0.16,4,0.0,1.6820268265856009,520.2251683576574,210.70639036255255,56.60266421334314,0.0,521.9071951842429,267.3090545758957,0,17,1024,1024,580,0,1,1
17,0.17,4,0.0,1.9165702427556015,583.9204146285226,210.09444798275462,56.41446019864652,0.0,585.8369848712782,266.5089081814011,0,20,1024,1024,578,0,1,1
18,0.18,2,0.0,2.2099865973312083,596.596486594949,198.74366414760476,53.35278771600048,0.0,598.8064731922802,252.09645186360524,0,23,1024,1024,546,0,1,1
19,0.19,2,0.0,2.3408053296934956,628.3466556107905,159.70771349736646,42.864854341155024,0.0,630.687460940484,202.57256783852148,0,24,1024,1024,439,0,1,1
20,0.2,2,0.0,2.455087604917713,660.2684885541904,99.09413283894786,26.59121009971409,0.0,662.7235761591081,125.68534293866195,0,25,1024,1015,272,0,1,1
21,0.21,2,0.0,2.5823863166020993,703.8611645843779,87.28560277369269,23.419185821091556,0.0,706.44355090098,110.70478859478425,0,26,1024,894,240,0,1,1
22,0.22,2,0.0,2.6209012837250807,726.0779360586156,94.68820782376805,25.40061598785176,0.0,728.6988373423407,120.08882381161982,0,27,1024,970,260,0,1,1
23,0.23,2,0.0,4.012704084208641,744.7486752578175,110.94504826994456,29.758185148957754,0.0,748.7613793420261,140.70323341890233,0,41,1024,1024,305,0,1,1
24,0.24,2,0.0,3.654018679526274,706.2115897557474,123.93928014183545,33.24157752712425,0.0,709.8656084352737,157.1808576689597,0,37,1024,1024,340,0,1,1
25,0.25,1,0.0,0.0,0.0,124.45628900911667,33.37957433489175,0.0,0.0,157.83586334400843,0,0,0,1024,342,0,0,1
26,0.26,1,0.0,0.0,0.0,122.98786117753836,32.9868673579125,0.0,0.0,155.97472853545088,0,0,0,1024,338,0,0,1
27,0.27,1,0.0,0.0,0.0,137.72384101499273,36.94053432034909,0.0,0.0,174.66437533534182,0,0,0,1024,378,0,0,1
